Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
31933250,"Al Franken, Giant of the Senate",Al Franken,"Franken, Al",,"=""1455540439""","=""9781455540433""",0,4.39,Twelve,ebook,304,2017,2017,,2017/12/24,to-read,to-read (#499),to-read,,,,0,,,0,,,,,
35633343,"Promise Me, Dad: A Year of Hope, Hardship, and Purpose",Joe Biden,"Biden, Joe",,"=""1250171679""","=""9781250171672""",0,4.15,Flatiron Books,Hardcover,272,2017,2017,,2017/12/23,to-read,to-read (#498),to-read,,,,0,,,0,,,,,
30688435,Exit West,Mohsin Hamid,"Hamid, Mohsin",,"=""0735212171""","=""9780735212176""",4,3.83,Riverhead,Hardcover,231,2017,2017,2017/12/22,2017/01/29,,,read,,,,1,,,0,,,,,
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",4,4.41,Metropolitan Books,Hardcover,282,2014,2014,2017/12/21,2014/12/04,,,read,,,,1,,,0,,,,,
25111005,A Thousand Naked Strangers: A Paramedic’s Wild Ride to the Edge and Back,Kevin Hazzard,"Hazzard, Kevin",,"=""1501110837""","=""9781501110832""",0,3.87,Scribner,Hardcover,261,2016,2016,,2017/12/20,to-read,to-read (#497),to-read,,,,0,,,0,,,,,
25387353,Bad News: Last Journalists in a Dictatorship,Anjan Sundaram,"Sundaram, Anjan",,"=""0385539568""","=""9780385539562""",0,3.95,Doubleday,Hardcover,192,2016,2016,,2017/12/19,to-read,to-read (#496),to-read,,,,0,,,0,,,,,
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark  Manson,"Manson, Mark",,"=""006245773X""","=""9780062457738""",0,4.02,HarperOne,ebook,224,2016,2016,,2017/12/18,to-read,to-read (#495),to-read,,,,0,,,0,,,,,
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""0061148512""","=""9780061148514""",0,3.98,Harper Perennial,Paperback,244,2006,1963,,2017/12/18,to-read,to-read (#494),to-read,,,,0,,,0,,,,,
21119,The Ethics of Ambiguity,Simone de Beauvoir,"Beauvoir, Simone de",,"=""080650160X""","=""9780806501604""",0,4.11,Citadel,Paperback,162,2000,1947,,2017/12/18,to-read,to-read (#493),to-read,,,,0,,,0,,,,,
84699,"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time",Keith Ferrazzi,"Ferrazzi, Keith",,"=""0385512058""","=""9780385512053""",0,3.82,Crown Business,Hardcover,309,2005,2005,,2017/12/18,to-read,to-read (#492),to-read,,,,0,,,0,,,,,
493371,The Bottom Billion: Why the Poorest Countries Are Failing and What Can Be Done About It,Paul Collier,"Collier, Paul",,"=""0195311450""","=""9780195311457""",0,3.85,"Oxford University Press, USA",Hardcover,205,2007,2007,,2017/12/18,to-read,to-read (#491),to-read,,,,0,,,0,,,,,
23315856,"Irrationally yours : on missing socks, pick-up lines and other existential puzzles",Dan Ariely,"Ariely, Dan",William Haefeli,"=""0062379992""","=""9780062379993""",0,3.43,Harper Perennial,Paperback,240,2015,2015,,2017/12/18,to-read,to-read (#490),to-read,,,,0,,,0,,,,,
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,3.88,Penguin,Paperback,331,1995,1955,,2017/12/18,to-read,to-read (#489),to-read,,,,0,,,0,,,,,
21413662,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",3,4.17,Houghton Mifflin Harcourt,Hardcover,303,2014,2014,2017/12/16,2017/07/09,,,read,,,,1,,,0,,,,,
18625893,Searching for Dave Chappelle (Kindle Single),Jason Zinoman,"Zinoman, Jason",,"=""""","=""""",4,3.46,,Kindle Edition,54,2013,2013,2017/12/18,2017/12/18,,,read,<strong>Short and sweet</strong><br/><br/>A quick look into Dave Chappelle's psyche and career and why he quit at the height of success. I do like me a short book.,,,1,,,0,,,,,
